"bot_lat","top_lat","left_long","right_long, height"
"21.02896469918224","21.03079503581987","105.7861914770398","105.7882697450316","17"
"21.02954875922455","21.03074492808166","105.7926330009269","105.7938401491762","13"
"21.02943408760013","21.03075602630152","105.7850636473305","105.7865795582075","41"
"21.02937484203116","21.03066496302974","105.7835106038492","105.7849516315293","39"
"21.029346344472238","21.03056167068518","105.7924184076568","105.7936267686797","13"
"21.02919745888935","21.0306065180955","105.7838324472968","105.7851033901307","9"
"21.02913068802537","21.03057407569971","105.7839857080114","105.7854221401525","43"
"21.02916788134163","21.03050536578884","105.7849804701624","105.7865745052469","47"
"21.02897863079473","21.030304804983672","105.7848767766432","105.786445840326","34"
"21.029307133909988","21.03051409347447","105.7925085934094","105.7937410940207","14"
"21.02913901766408","21.03048786919793","105.7842901352324","105.7856671581431","39"
"21.02920795225844","21.03043434876124","105.7928187959413","105.7940535930876","12"
"21.029171653872808","21.03039062529265","105.7924650431065","105.7936908255998","15"
"21.02904247681962","21.03042655334998","105.7845580455686","105.7859998657887","42"
"21.02909643358322","21.03031003413734","105.7927866867474","105.79398414928531","12"
"21.028894534281267","21.03024307282244","105.7919438431262","105.7935023035658","40"
"21.028906184743057","21.03019464778034","105.7834956976945","105.784773801659","31"
"21.02877563038307","21.030018590835382","105.7842115160136","105.785554173176","29"
"21.02865930791957","21.0298877369356","105.7841966998632","105.7854545195821","29"
"21.02867582640701","21.0300571749909","105.7839600016172","105.7853240735419","28"
"21.028689857145498","21.02990338138419","105.7836884962365","105.7849799458855","27"
"21.02853978271583","21.02977657326686","105.785002837749","105.7862571671007","14"
"21.02841290457723","21.02965320196884","105.783636812344","105.7849398797342","34"
"21.024507628875938","21.02567097137994","105.7928712716827","105.7940970289013","6"
"21.028142056641048","21.02954528594273","105.7873546502489","105.7887763748684","31"
"21.028153868352238","21.02941698560216","105.7826651742711","105.7839765329753","7"
"21.0279830134742","21.0293380010704","105.7836457305592","105.7849636576954","25"
"21.02807258344329","21.02927578390699","105.7923069667815","105.79359746139811","18"
"21.028001913327078","21.029200814971592","105.7922992452615","105.7935585438338","18"
"21.02792237062779","21.02927040390011","105.7838498282214","105.7851880738085","23"
"21.02798665335806","21.02926532158079","105.7841037153119","105.7854631222748","21"
"21.02787060414094","21.02908327822638","105.792439067678","105.7937112557738","18"
"21.02792292687501","21.02922046409841","105.7843907086843","105.78589741819741","19"
"21.027652104942568","21.029147270651322","105.7848246277935","105.7863102718759","10"
"21.027787034111178","21.02910472360113","105.7840970982773","105.7854112675778","19"
"21.027833564666288","21.02906375119688","105.79225464627599","105.7934946413115","13"
"21.02772343182948","21.02905167943481","105.783651713348","105.7851661144612","24"
"21.02769648229726","21.02892758139701","105.7921943019699","105.7934524316365","16"
"21.02767052602868","21.028962664738902","105.7848209391392","105.7860833171674","24"
"21.02765666414803","21.0288891641055","105.7927120743556","105.7939411127747","16"
"21.02750076493868","21.02889922794145","105.7840384577594","105.7862487615105","19"
"21.02762257114554","21.02883190976891","105.79283631876","105.79406941908461","15"
"21.02756934045238","21.02881827064824","105.7921166443747","105.793414378028","7"
"21.02756189171704","21.02883505156511","105.7888988802154","105.7900635035684","6"
"21.02754242825784","21.0287771064724","105.7926633766263","105.7938938328927","8"
"21.02748568110349","21.028691483326362","105.7927769954834","105.7940210840707","14"
"21.02748515203939","21.0286942316913","105.7920920787717","105.7933317256059","14"
"21.0244903921745","21.02565890867374","105.7926384164185","105.7939184285911","13"
"21.02742214116213","21.02863901606116","105.7926106212782","105.793838327003","14"
"21.02737142590772","21.02859098691854","105.7927294402017","105.79397201691201","14"
"21.0272490369251","21.02846892898831","105.7926620039422","105.7939122015494","14"
"21.027236727995888","21.02844530555303","105.7919565978635","105.793204509427","13"
"21.02712671053131","21.02834552367748","105.7920673764564","105.7932556769996","13"
"21.02709340545518","21.02831844804184","105.7921299477897","105.7933441670514","13"
"21.02705939697671","21.02828545761302","105.7922128768857","105.7934069525949","13"
"21.02703438387453","21.02824764589979","105.792284306275","105.7934923988163","12"
"21.026930116752478","21.028281935597082","105.78374564806249","105.7853195752451","50"
"21.026716677213958","21.02807117696899","105.78398928822399","105.785489563693","21"
"21.02637508538333","21.028026949531252","105.7838171965868","105.7852426059814","13"
"21.02696762383222","21.02822985739541","105.7923536333718","105.793636716647","13"
"21.027047143224","21.02823320394297","105.791894805144","105.7931253713432","13"
"21.02689501788921","21.028212164176","105.7919961323586","105.79327282308","13"
"21.02680948779747","21.028191951807372","105.78451020338049","105.7861414411072","34"
"21.026954173093568","21.02815127598719","105.7918634409055","105.7930923379403","13"
"21.02683555766529","21.028143075685172","105.7921362277641","105.79337248157181","14"
"21.026651396260117","21.02824246721835","105.7823326267191","105.7842719249886","13"
"21.02681195559043","21.02807244010615","105.7922942173944","105.7935063578844","14"
"21.026713007074807","21.02792020275931","105.7924305703474","105.7937135811713","13"
"21.025991151797818","21.02786055167337","105.7915424528558","105.7930924160719","11"
"21.02622451872647","21.0277845401145","105.7918061874302","105.7932863313132","11"
"21.02399271782189","21.02542693303348","105.7878572265412","105.7891386536166","13"
"21.02590394263137","21.02733885708221","105.78395482281","105.7854398682676","67"
"21.0256622681474","21.02718182422121","105.7913053870581","105.7927954998758","24"
"21.02571699658974","21.02703322332853","105.7870209323045","105.7884436536739","8"
"21.02539695656114","21.02688218493039","105.7866849464054","105.7879789417815","6"
"21.02547409763632","21.0268739778693","105.7839374611775","105.7854450205029","68"
"21.02536449760547","21.02680825732352","105.7865745552058","105.787866773663","6"
