"bot_lat","top_lat","left_long","right_long", "height"
"21.02923469918224","21.03052503581987","105.7864614770398","105.7879997450316","17"
"21.02981875922455","21.03047492808166","105.7929030009269","105.7935701491762","13"
"21.02970408760013","21.03048602630152","105.7853336473305","105.7863095582075","41"
"21.02964484203116","21.03039496302974","105.7837806038492","105.7846816315293","39"
"21.029616344472238","21.03029167068518","105.7926884076568","105.7933567686797","13"
"21.02946745888935","21.0303365180955","105.7841024472968","105.7848333901307","9"
"21.02940068802537","21.03030407569971","105.7842557080114","105.7851521401525","43"
"21.02943788134163","21.03023536578884","105.7852504701624","105.7863045052469","47"
"21.02924863079473","21.03003480498367","105.7851467766432","105.786175840326","34"
"21.02957713390999","21.03024409347447","105.7927785934094","105.7934710940207","14"
"21.02940901766408","21.03021786919793","105.7845601352324","105.7853971581431","39"
"21.02947795225844","21.03016434876124","105.7930887959413","105.7937835930876","12"
"21.02944165387281","21.03012062529265","105.7927350431065","105.7934208255998","15"
"21.02931247681962","21.03015655334998","105.7848280455686","105.7857298657887","42"
"21.02936643358322","21.03004003413734","105.7930566867474","105.79371414928531","12"
"21.029164534281268","21.02997307282244","105.7922138431262","105.7932323035658","40"
"21.029176184743058","21.02992464778034","105.7837656976945","105.784503801659","31"
"21.02904563038307","21.029748590835382","105.7844815160136","105.785284173176","29"
"21.02892930791957","21.0296177369356","105.7844666998632","105.7851845195821","29"
"21.02894582640701","21.0297871749909","105.7842300016172","105.7850540735419","28"
"21.028959857145498","21.02963338138419","105.7839584962365","105.7847099458855","27"
"21.02880978271583","21.02950657326686","105.785272837749","105.7859871671007","14"
"21.02868290457723","21.02938320196884","105.783906812344","105.7846698797342","34"
"21.02477762887594","21.02540097137994","105.7931412716827","105.7938270289013","6"
"21.02841205664105","21.02927528594273","105.7876246502489","105.7885063748684","31"
"21.028423868352238","21.02914698560216","105.7829351742711","105.7837065329753","7"
"21.0282530134742","21.0290680010704","105.7839157305592","105.7846936576954","25"
"21.02834258344329","21.02900578390699","105.7925769667815","105.7933274613981","18"
"21.028271913327078","21.02893081497159","105.7925692452615","105.7932885438338","18"
"21.02819237062779","21.02900040390011","105.7841198282214","105.7849180738085","23"
"21.02825665335806","21.02899532158079","105.7843737153119","105.7851931222748","21"
"21.02814060414094","21.02881327822638","105.792709067678","105.7934412557738","18"
"21.02819292687501","21.02895046409841","105.7846607086843","105.78562741819741","19"
"21.02792210494257","21.02887727065132","105.7850946277935","105.7860402718759","10"
"21.02805703411118","21.02883472360113","105.7843670982773","105.7851412675778","19"
"21.02810356466629","21.02879375119688","105.792524646276","105.7932246413115","13"
"21.02799343182948","21.02878167943481","105.783921713348","105.7848961144612","24"
"21.02796648229726","21.02865758139701","105.7924643019699","105.7931824316365","16"
"21.02794052602868","21.0286926647389","105.7850909391392","105.7858133171674","24"
"21.02792666414803","21.0286191641055","105.7929820743556","105.7936711127747","16"
"21.02777076493868","21.02862922794145","105.7843084577594","105.7859787615105","19"
"21.02789257114554","21.02856190976891","105.79310631876","105.7937994190846","15"
"21.02783934045238","21.02854827064824","105.7923866443747","105.793144378028","7"
"21.02783189171704","21.02856505156511","105.7891688802154","105.7897935035684","6"
"21.02781242825784","21.0285071064724","105.7929333766263","105.7936238328927","8"
"21.02775568110349","21.028421483326362","105.7930469954834","105.7937510840707","14"
"21.02775515203939","21.0284242316913","105.7923620787717","105.7930617256059","14"
"21.0247603921745","21.02538890867374","105.7929084164185","105.7936484285911","13"
"21.02769214116213","21.02836901606116","105.7928806212782","105.793568327003","14"
"21.02764142590772","21.02832098691854","105.7929994402017","105.79370201691201","14"
"21.0275190369251","21.02819892898831","105.7929320039422","105.7936422015494","14"
"21.02750672799589","21.02817530555303","105.7922265978635","105.792934509427","13"
"21.02739671053131","21.02807552367748","105.7923373764564","105.7929856769996","13"
"21.02736340545518","21.02804844804184","105.7923999477897","105.7930741670514","13"
"21.02732939697671","21.02801545761302","105.7924828768857","105.7931369525949","13"
"21.02730438387453","21.02797764589979","105.792554306275","105.7932223988163","12"
"21.02720011675248","21.028011935597082","105.78401564806249","105.7850495752451","50"
"21.02698667721396","21.02780117696899","105.78425928822399","105.785219563693","21"
"21.02664508538333","21.027756949531252","105.7840871965868","105.7849726059814","13"
"21.02723762383222","21.02795985739541","105.7926236333718","105.793366716647","13"
"21.027317143224","21.02796320394297","105.792164805144","105.7928553713432","13"
"21.02716501788921","21.027942164176","105.7922661323586","105.79300282308","13"
"21.02707948779747","21.02792195180737","105.78478020338049","105.7858714411072","34"
"21.02722417309357","21.02788127598719","105.7921334409055","105.7928223379403","13"
"21.02710555766529","21.02787307568517","105.7924062277641","105.79310248157181","14"
"21.026921396260118","21.02797246721835","105.7826026267191","105.7840019249886","13"
"21.02708195559043","21.02780244010615","105.7925642173944","105.7932363578844","14"
"21.026983007074808","21.02765020275931","105.7927005703474","105.7934435811713","13"
"21.02626115179782","21.02759055167337","105.7918124528558","105.7928224160719","11"
"21.02649451872647","21.0275145401145","105.7920761874302","105.7930163313132","11"
"21.02426271782189","21.02515693303348","105.7881272265412","105.7888686536166","13"
"21.02617394263137","21.02706885708221","105.78422482281","105.7851698682676","67"
"21.0259322681474","21.02691182422121","105.7915753870581","105.7925254998758","24"
"21.02598699658974","21.02676322332853","105.7872909323045","105.7881736536739","8"
"21.02566695656114","21.02661218493039","105.7869549464054","105.7877089417815","6"
"21.02574409763632","21.0266039778693","105.7842074611775","105.7851750205029","68"
"21.02563449760547","21.02653825732352","105.7868445552058","105.787596773663","6"
